ID,Number,IU,Speaker,Gender,Item,Vowel,Duration_IU_s,Syllables_IU,Speech_Rate,Frequency,ACC,BI,Prox,Duration_ms,Annotator_1_Duration,Annotator_2_Duration
45,45,I ^find I :hadn`t l\/ooked at it#,<1_8_A>,female,it,CAT,1.12,8,7.15,6.69,UNACC,4,0,83.2,82.3,84.2
46,46,but I ^think she just !d\eemed {that he was *^too sm\all -,<1_8_A>,female,just,STRUT,2.56,11,4.30,6.55,UNACC,1,6,46.5,46.4,46.5
47,47,when he`d ^cl\eared up#,<1_10_A>,female,up,STRUT,0.67,4,5.96,6.53,UNACC,4,0,65.9,70.5,61.3
48,48,"> though you ""^d\o find :{^s\ome that#}#",<1_10_A>,female,that,CAT,1.28,6,4.70,7.19,UNACC,4,0,51.3,57.1,45.5
49,49,I ^gathered from from . :egg and :egg *_[e?]* !\egg _whisk#,<1_10_A>,female,whisk,KIT,2.63,10,3.80,3.82,UNACC,4,0,75.8,74.2,77.3
50,50,there`s ^no 'point in :d\oing that#,<1_1_1b,male,that,CAT,0.90,7,7.77,7.19,UNACC,4,0,63.2,65.8,60.7
51,51,but ^then you _[gri:] you were _picking !G\iles up#,<1_1_1b,female,up,STRUT,2.05,11,5.37,6.53,UNACC,4,0,91.5,92.7,90.2
52,52,and saying I ^must h\ave _this#,<1_3_A>,female,this,KIT,1.19,7,5.86,6.89,UNACC,4,0,104.1,119.4,88.8
53,53,and ^then I 'finish((ed)) up with a :session with 'Mary :P\/atrick#,<1_9_A>,female,up,STRUT,2.75,15,5.45,6.53,UNACC,1,9,91.7,93.0,90.4
54,54,"^look in ""!d\/etail but#",<4_4_A>,male,but,STRUT,1.11,5,4.50,6.76,UNACC,4,0,71.2,77.5,65.0
55,55,^y\es but#,<4_1_b>,female,but,STRUT,0.40,2,4.97,6.76,UNACC,4,0,26.3,34.8,17.7
56,56,^I can s\ee that#,<4_1_a>,male,that,CAT,0.56,4,7.20,7.19,UNACC,4,0,81.1,82.1,80.1
57,57,"^not un'til they`d ""!b\een up#",<4_1_b>,female,up,STRUT,1.26,6,4.75,6.53,UNACC,4,0,105.6,107.8,103.5
58,58,cos the ^wind was :bl\owing from the 'west#,<1_11_b>,male,west,DRESS,1.18,9,7.62,5.29,UNACC,4,0,96.2,92.7,99.8
59,59,^no !b\igger than _that# -,<4_2_b>,female,that,CAT,0.70,5,7.12,7.19,UNACC,4,0,69.5,69.1,70.0
60,60,^f\abulous _chest#,<4_2_b>,female,chest,DRESS,1.05,4,3.80,4.48,UNACC,4,0,103.3,111.1,95.5
61,61,and ^l\/ook at#,<4_4_b>,female,at,CAT,0.64,3,4.69,6.69,UNACC,4,0,105.4,117.0,93.8
62,62,^I get very fed \up#,<1_3_b>,female,get,DRESS,0.96,6,6.25,6.49,UNACC,1,4,72.9,72.5,73.3
