ID,Number,IU,Speaker,Gender,Item,Vowel,Duration_IU_s,Syllables_IU,Speech_Rate,Frequency,ACC,BI,Prox,Duration_ms,Annotator_1_Duration,Annotator_2_Duration
151,11,^I`m typing it 'up n\ow#,<2_1_B>,male,up,STRUT,1.15,6,5.23,6.53,SEC,1,1,120.7,125.4,116.0
152,12,you ^still it`s ^still a :lot 'cheaper than :buying :b\/ottles#,<1_7_A>,male,lot,LOT,1.83,11,6.02,5.98,SEC,1,7,107.5,118.1,97.0
153,13,^wh\/at I`ve 'got#,<2_2_a A,male,got,LOT,0.60,3,5.04,6.47,SEC,4,0,106.2,103.6,108.8
154,14,"he he ""^f\elt too 'much#",<3_1_a A,female,much,STRUT,1.26,4,3.18,6.11,SEC,4,0,126.2,139.3,113.0
155,15,at the ^\/end of the 'book#,<3_1_a A,female,book,PUT,0.94,6,6.39,5.21,SEC,4,0,161.2,160.9,161.6
156,16,and I ^think !Sall`s . started !b\/uying ((it)) as a re'sult of 'that#,<1_7_A>,male,that,CAT,2.25,14,6.23,7.19,SEC,4,0,91.6,88.5,94.8
157,17,^is it a !rea!l\istic 'book#,<3_1_a B,male,book,PUT,1.27,8,6.31,5.21,SEC,4,0,129.1,138.0,120.2
158,18,^can you 'pick your 'own :tr\ousers 'up# .,<4_1_b>,female,pick,KIT,1.17,8,6.84,5.16,SEC,1,5,53.6,50.5,56.7
159,19,^can you 'pick your 'own :tr\ousers 'up# .,<4_1_b>,female,up,STRUT,1.17,8,6.84,6.53,SEC,4,0,88.8,87.8,89.9
160,20,that I ^thought of !d\oing 'this#,<4_1_a>,male,this,KIT,1.22,7,5.75,6.89,SEC,4,0,108.8,132.1,85.6
161,21,I ^must h\ave _this#,<1_3_A>,female,must,STRUT,0.90,4,4.46,5.67,SEC,1,2,79.3,80.7,78.0
162,22,^it was just !such a n\ight_mare#,<1_3_A>,female,such,STRUT,1.26,7,5.55,5.50,SEC,1,3,110.8,110.1,111.6
163,23,*-; ^\added* to 'which#,<1_4_A>,male,which,KIT,0.64,4,6.22,6.26,SEC,4,0,87.3,102.1,72.6
164,24,^fairly :sh\ortish 'bits#,<1_4_A>,male,bit,KIT,1.41,5,3.55,6.10,SEC,4,0,143.3,143.3,143.2
165,25,!get !that !\up 'any'where#,<1_4_B>,male,get,DRESS,1.10,6,5.47,6.53,SEC,1,5,94.7,87.1,102.2
166,26,on a ^much 'smaller :sc\ale#,<1_4_B>,male,much,STRUT,1.37,6,4.39,6.11,SEC,1,3,131.3,133.8,128.7
167,27, ^all [@] in !m\/ore or 'less#,<6_5_m>,female,less,DRESS,1.15,5,4.35,5.31,SEC,4,0,91.2,89.5,92.9
168,28,they ^all 'pack in tog\ether 'you kn/ow#,<1_4_B>,male,pack,CAT,1.49,9,6.05,4.62,SEC,1,4,123.0,129.0,116.9
169,29,^could 'Jeffrey :fix 'up 'someone to :d/o it#,<1_4_B>,male,fix,KIT,1.99,10,5.04,4.57,SEC,1,6,103.3,104.4,102.2
170,30,^pick 'up 'all the j\argon#,<1_5_B>,female,pick,KIT,1.37,6,4.37,5.16,SEC,1,5,69.7,65.5,73.9
171,31,^pick 'up 'all the j\argon#,<1_5_B>,female,up,STRUT,1.37,6,4.37,6.53,SEC,1,4,93.1,90.0,96.2
172,32,^what ad!!v\antage does he _get#,<1_1_B>,male,get,DRESS,1.11,8,7.17,6.49,SEC,4,0,111.2,114.0,108.3
173,33,the im^m\ediate re'action I 'got#,<1_5_A>,female,got,LOT,1.10,10,9.08,6.47,SEC,4,0,96.6,92.5,100.8
174,34,I ^don`t know if he _dr\opped 'that#,<1_5_B>,female,that,CAT,1.10,7,6.39,7.19,SEC,4,0,127.0,138.2,115.7
175,35,"and he was in ^hospital for !six ""m\onths#",<1_10_A>,female,six,KIT,1.50,9,5.98,5.47,SEC,1,1,66.4,61.2,71.6
176,36,which ^crops 'up just 'once a y\ear#,<1_5_B>,female,crop,LOT,1.64,7,4.27,4.10,SEC,1,5,152.6,171.2,134.0
177,37,which ^crops 'up just 'once a y\ear#,<1_5_B>,female,up,STRUT,1.64,7,4.27,6.53,SEC,1,4,132.9,130.3,135.6
178,38,^next 'senior 'one 'after Q\uirk#,<1_5_B>,female,next,DRESS,1.47,7,4.76,5.89,SEC,1,6,121.9,116.9,126.9
