Student	School	Class	PPVT	Speaking	Listening	ReadingWriting	Attitude	L1	Sex
825	S49	49A	87	1	17	21	positive	dutch	female
826	S49	49A	71	0	7	10	positive	dutch	male
827	S49	49A	77	5	14	15	positive	multi	female
828	S49	49A	79	2	13	11	positive	multi	male
829	S49	49A	101	6	16	26	positive	multi	male
830	S49	49A	70	0	5	10	positive	dutch	female
831	S49	49A	84	4	20	25	positive	dutch	male
832	S51	51B	86	4	13	17	positive	dutch	female
833	S51	51B	72	7	6	12	positive	dutch	male
834	S51	51B	82	5	17	16	positive	dutch	female
835	S51	51B	91	17	19	43	positive	dutch	male
836	S51	51B	86	5	14	23	positive	dutch	male
837	S51	51B	85	5	16	21	positive	dutch	male
838	S51	51B	90	2	18	25	positive	dutch	male
839	S51	51B	83	9	14	32	positive	dutch	female
840	S51	51B	91	7	22	42	positive	dutch	male
841	S51	51B	89	12	19	37	positive	dutch	female
842	S51	51B	70	2	6	15	positive	dutch	female
843	S51	51B	76	7	22	33	positive	dutch	female
844	S51	51B	65	2	7	8	positive	dutch	female
845	S51	51B	82	8	19	29	positive	dutch	female
846	S51	51B	112	20	25	50	positive	dutch	male
847	S51	51B	115	20	25	49	positive	dutch	male
848	S51	51B	73	6	9	11	positive	dutch	male
849	S51	51B	64	1	9	14	positive	dutch	female
850	S51	51B	79	9	18	33	positive	dutch	male
851	S51	51A	99	20	23	41	positive	dutch	male
852	S51	51A	84	8	20	24	positive	dutch	male
853	S51	51A	59	6	9	12	positive	dutch	male
854	S51	51A	74	9	14	12	positive	dutch	male
855	S51	51A	66	4	14	20	positive	dutch	male
856	S51	51A	91	18	16	34	positive	dutch	male
857	S51	51A	70	2	6	12	negative	dutch	male
858	S51	51A	90	16	14	32	positive	dutch	male
859	S51	51A	98	10	15	34	positive	dutch	male
860	S51	51A	98	16	23	37	positive	dutch	male
861	S51	51A	73	6	7	13	positive	multi	female
862	S51	51A	76	1	6	18	positive	dutch	female
863	S51	51A	72	16	16	21	positive	dutch	female
864	S51	51A	86	7	15	26	positive	dutch	female
865	S51	51A	93	NA	21	35	positive	dutch	female
866	S51	51A	95	18	23	38	positive	dutch	male
867	S51	51A	88	19	21	30	positive	dutch	male
432	S261	261A	77	0	17	16	positive	dutch	female
433	S261	261A	78	7	21	26	positive	dutch	female
434	S261	261A	72	5	17	19	positive	multi	male
435	S261	261A	96	12	19	35	positive	dutch	male
436	S261	261A	82	6	15	22	positive	dutch	male
437	S261	261A	66	0	9	9	positive	dutch	male
438	S261	261A	80	12	21	33	positive	dutch	female
439	S261	261A	71	0	1	8	positive	dutch	female
440	S261	261A	72	7	9	8	positive	dutch	female
441	S261	261A	82	4	18	24	positive	dutch	male
442	S261	261A	85	13	20	37	positive	dutch	female
443	S261	261A	66	5	11	13	positive	dutch	female
444	S261	261A	79	7	15	19	positive	dutch	female
445	S261	261A	88	9	22	41	positive	dutch	female
446	S262	262A	81	3	12	13	positive	dutch	male
447	S262	262A	78	0	8	9	positive	dutch	male
448	S262	262A	71	2	14	12	positive	dutch	male
449	S262	262A	96	8	20	30	positive	dutch	male
450	S262	262A	78	2	8	4	positive	dutch	female
451	S262	262A	76	0	12	12	positive	dutch	female
452	S262	262A	57	2	12	13	positive	dutch	female
453	S262	262A	76	2	11	24	positive	dutch	female
